timestep,phase,slot_idx,output_idx,feature_idx,input_spikes,leak_term,input_sum,recurrent_sum,membrane_out,spike_out,feature_value,weight,product,accumulator,position_estimate,velocity_estimate
1,readout,,1,0,"0,0,0,1",,,,,,-0.53955078125,0.021240234375,-0.011474609375,-0.011474609375,0.364990234375,-0.040283203125
1,readout,,1,1,"0,0,0,1",,,,,,-0.41748046875,-0.540771484375,0.225830078125,0.21435546875,0.364990234375,-0.040283203125
1,readout,,1,2,"0,0,0,1",,,,,,-1.436279296875,0.103271484375,-0.1484375,0.06591796875,0.364990234375,-0.040283203125
1,readout,,1,3,"0,0,0,1",,,,,,-0.80615234375,0.0478515625,-0.03857421875,0.02734375,0.364990234375,-0.040283203125
1,readout,,1,4,"0,0,0,1",,,,,,0.231689453125,-0.000244140625,0.0,0.02734375,0.364990234375,-0.040283203125
1,readout,,1,5,"0,0,0,1",,,,,,-0.2509765625,0.17724609375,-0.04443359375,-0.01708984375,0.364990234375,-0.040283203125
1,readout,,1,6,"0,0,0,1",,,,,,-0.1953125,-0.113525390625,0.022216796875,0.005126953125,0.364990234375,-0.040283203125
1,readout,,1,7,"0,0,0,1",,,,,,-0.34228515625,-0.090576171875,0.031005859375,0.0361328125,0.364990234375,-0.040283203125
1,readout,,1,8,"0,0,0,1",,,,,,0.137939453125,0.736328125,0.1015625,0.1376953125,0.364990234375,-0.040283203125
1,readout,,1,9,"0,0,0,1",,,,,,-0.060302734375,0.166015625,-0.010009765625,0.127685546875,0.364990234375,-0.040283203125
1,readout,,1,10,"0,0,0,1",,,,,,1.0,-0.16796875,-0.16796875,-0.040283203125,0.364990234375,-0.040283203125
2,neuron,0,,,"0,0,0,0",-0.47216796875,0.0,0.0,-0.47216796875,0,,,,,,
2,neuron,1,,,"0,0,0,0",-0.365234375,0.0,0.0,-0.365234375,0,,,,,,
2,neuron,2,,,"0,0,0,0",-1.2568359375,0.0,0.0,-1.2568359375,0,,,,,,
2,neuron,3,,,"0,0,0,0",-0.705322265625,0.0,0.0,-0.705322265625,0,,,,,,
2,neuron,4,,,"0,0,0,0",0.20263671875,0.0,0.0,0.20263671875,0,,,,,,
2,neuron,5,,,"0,0,0,0",-0.2197265625,0.0,0.0,-0.2197265625,0,,,,,,
2,neuron,6,,,"0,0,0,0",-0.1708984375,0.0,0.0,-0.1708984375,0,,,,,,
2,neuron,7,,,"0,0,0,0",-0.299560546875,0.0,0.0,-0.299560546875,0,,,,,,
2,readout,,0,0,"0,0,0,0",,,,,,-0.47216796875,-0.245849609375,0.115966796875,0.115966796875,0.30078125,0.007568359375
2,readout,,0,1,"0,0,0,0",,,,,,-0.365234375,0.25048828125,-0.091552734375,0.0244140625,0.30078125,0.007568359375
2,readout,,0,2,"0,0,0,0",,,,,,-1.2568359375,-0.015380859375,0.019287109375,0.043701171875,0.30078125,0.007568359375
2,readout,,0,3,"0,0,0,0",,,,,,-0.705322265625,-0.057373046875,0.04052734375,0.084228515625,0.30078125,0.007568359375
2,readout,,0,4,"0,0,0,0",,,,,,0.20263671875,0.0048828125,0.0009765625,0.085205078125,0.30078125,0.007568359375
2,readout,,0,5,"0,0,0,0",,,,,,-0.2197265625,0.10595703125,-0.023193359375,0.06201171875,0.30078125,0.007568359375
2,readout,,0,6,"0,0,0,0",,,,,,-0.1708984375,-0.00244140625,0.00048828125,0.0625,0.30078125,0.007568359375
2,readout,,0,7,"0,0,0,0",,,,,,-0.299560546875,0.31591796875,-0.0947265625,-0.0322265625,0.30078125,0.007568359375
2,readout,,0,8,"0,0,0,0",,,,,,0.18994140625,1.9990234375,0.379638671875,0.347412109375,0.30078125,0.007568359375
2,readout,,0,9,"0,0,0,0",,,,,,0.026123046875,-1.9990234375,-0.05224609375,0.295166015625,0.30078125,0.007568359375
2,readout,,0,10,"0,0,0,0",,,,,,1.0,0.005615234375,0.005615234375,0.30078125,0.30078125,0.007568359375
2,readout,,1,0,"0,0,0,0",,,,,,-0.47216796875,0.021240234375,-0.010009765625,-0.010009765625,0.30078125,0.007568359375
2,readout,,1,1,"0,0,0,0",,,,,,-0.365234375,-0.540771484375,0.197509765625,0.1875,0.30078125,0.007568359375
2,readout,,1,2,"0,0,0,0",,,,,,-1.2568359375,0.103271484375,-0.1298828125,0.0576171875,0.30078125,0.007568359375
2,readout,,1,3,"0,0,0,0",,,,,,-0.705322265625,0.0478515625,-0.03369140625,0.02392578125,0.30078125,0.007568359375
2,readout,,1,4,"0,0,0,0",,,,,,0.20263671875,-0.000244140625,0.0,0.02392578125,0.30078125,0.007568359375
2,readout,,1,5,"0,0,0,0",,,,,,-0.2197265625,0.17724609375,-0.0390625,-0.01513671875,0.30078125,0.007568359375
2,readout,,1,6,"0,0,0,0",,,,,,-0.1708984375,-0.113525390625,0.019287109375,0.004150390625,0.30078125,0.007568359375
2,readout,,1,7,"0,0,0,0",,,,,,-0.299560546875,-0.090576171875,0.027099609375,0.03125,0.30078125,0.007568359375
2,readout,,1,8,"0,0,0,0",,,,,,0.18994140625,0.736328125,0.139892578125,0.171142578125,0.30078125,0.007568359375
2,readout,,1,9,"0,0,0,0",,,,,,0.026123046875,0.166015625,0.00439453125,0.175537109375,0.30078125,0.007568359375
2,readout,,1,10,"0,0,0,0",,,,,,1.0,-0.16796875,-0.16796875,0.007568359375,0.30078125,0.007568359375
3,neuron,0,,,"1,0,0,0",-0.4130859375,-0.21142578125,0.0,-0.62451171875,0,,,,,,
3,neuron,1,,,"1,0,0,0",-0.319580078125,0.04296875,0.0,-0.276611328125,0,,,,,,
3,neuron,2,,,"1,0,0,0",-1.099609375,-0.554931640625,0.0,-1.654541015625,0,,,,,,
3,neuron,3,,,"1,0,0,0",-0.6171875,-0.090576171875,0.0,-0.707763671875,0,,,,,,
3,neuron,4,,,"1,0,0,0",0.17724609375,0.15283203125,0.0,0.330078125,0,,,,,,
3,neuron,5,,,"1,0,0,0",-0.1923828125,0.571533203125,0.0,0.379150390625,0,,,,,,
3,neuron,6,,,"1,0,0,0",-0.1494140625,-0.427001953125,0.0,-0.576416015625,0,,,,,,
3,neuron,7,,,"1,0,0,0",-0.26220703125,-0.383056640625,0.0,-0.645263671875,0,,,,,,
3,readout,,0,0,"1,0,0,0",,,,,,-0.62451171875,-0.245849609375,0.153564453125,0.153564453125,0.408203125,0.121826171875
3,readout,,0,1,"1,0,0,0",,,,,,-0.276611328125,0.25048828125,-0.0693359375,0.084228515625,0.408203125,0.121826171875
3,readout,,0,2,"1,0,0,0",,,,,,-1.654541015625,-0.015380859375,0.025390625,0.109619140625,0.408203125,0.121826171875
3,readout,,0,3,"1,0,0,0",,,,,,-0.707763671875,-0.057373046875,0.04052734375,0.150146484375,0.408203125,0.121826171875
3,readout,,0,4,"1,0,0,0",,,,,,0.330078125,0.0048828125,0.001708984375,0.15185546875,0.408203125,0.121826171875
3,readout,,0,5,"1,0,0,0",,,,,,0.379150390625,0.10595703125,0.040283203125,0.192138671875,0.408203125,0.121826171875
3,readout,,0,6,"1,0,0,0",,,,,,-0.576416015625,-0.00244140625,0.00146484375,0.193603515625,0.408203125,0.121826171875
3,readout,,0,7,"1,0,0,0",,,,,,-0.645263671875,0.31591796875,-0.203857421875,-0.01025390625,0.408203125,0.121826171875
3,readout,,0,8,"1,0,0,0",,,,,,0.223388671875,1.9990234375,0.446533203125,0.436279296875,0.408203125,0.121826171875
3,readout,,0,9,"1,0,0,0",,,,,,0.016845703125,-1.9990234375,-0.03369140625,0.402587890625,0.408203125,0.121826171875
3,readout,,0,10,"1,0,0,0",,,,,,1.0,0.005615234375,0.005615234375,0.408203125,0.408203125,0.121826171875
3,readout,,1,0,"1,0,0,0",,,,,,-0.62451171875,0.021240234375,-0.01318359375,-0.01318359375,0.408203125,0.121826171875
3,readout,,1,1,"1,0,0,0",,,,,,-0.276611328125,-0.540771484375,0.149658203125,0.136474609375,0.408203125,0.121826171875
3,readout,,1,2,"1,0,0,0",,,,,,-1.654541015625,0.103271484375,-0.1708984375,-0.034423828125,0.408203125,0.121826171875
3,readout,,1,3,"1,0,0,0",,,,,,-0.707763671875,0.0478515625,-0.033935546875,-0.068359375,0.408203125,0.121826171875
