t,measurement,delta,true_position,true_velocity,snn_position,snn_velocity,kalman_position,kalman_velocity,qkalman_position,qkalman_velocity,hwsnn_position,hwsnn_velocity,input_spike_0,input_spike_1,input_spike_2,input_spike_3,reservoir_spike_0,reservoir_spike_1,reservoir_spike_2,reservoir_spike_3,reservoir_spike_4,reservoir_spike_5,reservoir_spike_6,reservoir_spike_7,membrane_0,membrane_1,membrane_2,membrane_3,membrane_4,membrane_5,membrane_6,membrane_7
18,0.44110714342214735,-0.27897681352699694,0.5799026402443629,0.23770304495074787,0.44677734375,-0.17822265625,0.5731343007224496,0.15174329152373803,0.57177734375,0.14306640625,0.44677734375,-0.17822265625,0,0,0,1,0,0,0,0,0,0,0,0,-1.811279296875,0.201416015625,-3.582763671875,-0.99169921875,0.59619140625,0.338623046875,-1.593505859375,-2.134033203125
19,0.6387193507403958,0.1976122073182484,0.584599454214896,0.2348406985266555,0.433837890625,0.007080078125,0.5875944225338547,0.195517727174426,0.58837890625,0.185791015625,0.433837890625,0.007080078125,1,0,0,0,0,0,0,0,0,0,0,0,-1.79638671875,0.21923828125,-3.68994140625,-0.958251953125,0.674560546875,0.867919921875,-1.8212890625,-2.250244140625
20,0.5427277520574488,-0.09599159868294693,0.5892390212569473,0.23197835210256315,0.38720703125,-0.1103515625,0.5829681782063382,0.16435830622092867,0.58154296875,0.157470703125,0.38720703125,-0.1103515625,1,0,0,0,0,0,0,0,0,1,0,0,-1.783203125,0.23486328125,-3.78369140625,-0.928955078125,0.7431640625,0.3310546875,-2.020751953125,-2.35205078125
21,0.560454838123656,0.01772708606620721,0.5938213413705167,0.2291160056784708,0.385498046875,0.0048828125,0.5819219908853512,0.14925453750113346,0.57958984375,0.14501953125,0.385498046875,0.0048828125,1,0,0,0,0,0,0,0,0,0,0,0,-1.771728515625,0.24853515625,-3.87353515625,-0.9033203125,0.9443359375,0.861083984375,-2.195068359375,-2.441162109375
22,0.6217640946311669,0.061309256507510845,0.5983464145556042,0.22625365925437843,0.3369140625,-0.058349609375,0.590856880169128,0.16909955873415114,0.5908203125,0.162841796875,0.3369140625,-0.058349609375,1,0,0,0,0,0,0,0,0,1,0,0,-1.76171875,0.260498046875,-3.9443359375,-0.881103515625,0.97900390625,0.324951171875,-2.34765625,-2.51904296875
23,0.502773528127275,-0.11899056650389184,0.6028142408122099,0.22339131283028607,0.3447265625,0.005859375,0.5800270058950827,0.12364752678555108,0.57470703125,0.1240234375,0.3447265625,0.005859375,1,0,0,0,0,0,0,0,1,0,0,0,-1.7529296875,0.27099609375,-3.9990234375,-0.861572265625,0.150634765625,0.85595703125,-2.481201171875,-2.587158203125
24,0.571660830150662,0.068887302023387,0.6072248201403337,0.2205289664061937,0.26025390625,-0.080810546875,0.580876671366645,0.11866033653833757,0.576171875,0.121826171875,0.26025390625,-0.080810546875,1,0,0,0,0,0,0,0,0,1,0,0,-1.7451171875,0.33203125,-3.9990234375,-0.844482421875,0.28466796875,0.293701171875,-2.59814453125,-2.646728515625
25,0.6060571116826908,0.03439628153202878,0.6115781525399757,0.21766661998210135,0.341064453125,0.039306640625,0.5865462926816122,0.12840610114730286,0.5830078125,0.13232421875,0.341064453125,0.039306640625,1,0,0,0,0,0,0,0,0,0,0,0,-1.73828125,0.33349609375,-3.9990234375,-0.82958984375,0.54296875,0.82861328125,-2.700439453125,-2.698974609375
26,0.5388976673702903,-0.0671594443124005,0.6158742380111359,0.214804273558009,0.255859375,-0.06396484375,0.5821011510854568,0.10842059419500276,0.579345703125,0.115234375,0.255859375,-0.06396484375,1,0,0,0,0,0,0,0,0,1,0,0,-1.732421875,0.334716796875,-3.9990234375,-0.81640625,0.6279296875,0.296630859375,-2.789794921875,-2.74462890625
27,0.627878422995493,0.08898075562520269,0.6201130765538143,0.21194192713391663,0.308349609375,0.074951171875,0.5901614616600082,0.12462892530575842,0.58642578125,0.1328125,0.308349609375,0.074951171875,1,0,0,0,0,0,0,0,0,0,0,0,-1.727294921875,0.3359375,-3.9990234375,-0.804931640625,0.84326171875,0.8310546875,-2.8681640625,-2.78466796875
